,LHA11561.0001.1.1.2.1.ZZX6GV14_S1,LHA11561.0002.1.1.2.2.ZZX6GWU2_S2,LHA11561.0003.1.1.2.3.ZZX6GYKK_S3,LHA11561.0004.1.1.2.4.ZZX6H0B2_S4,LHA11561.0005.1.1.6.1.ZZX6GV40_S5,LHA11561.0007.1.1.6.3.ZZX6GYNC_S7,LHA11561.0008.1.1.6.4.ZZX6H0DU_S8,LHA11561.0009.1.1.7.1.ZZX6GV4Q_S9,LHA11561.0010.1.1.7.2.ZZX6GWXJ_S10,LHA11561.0011.1.1.7.3.ZZX6GYO1_S11,LHA11561.0012.1.1.7.4.ZZX6H0EJ_S12,LHA11561.0013.1.1.18.1.ZZX6GVCO_S13,LHA11561.0014.1.1.18.2.ZZX6GX56_S14,LHA11561.0015.1.1.18.3.ZZX6GYVO_S15,LHA11561.0016.1.1.18.4.ZZX6H0M6_S16
167f7cc66030d3476fa277005ca630ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ddba3abf2375d011b7b43ce7295ae9f4,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0
ba3b543cbded0cf418f692ce49ce0935,0,0,685,96,0,0,0,0,0,1277,0,59,509,2443,465
a113f6a70c798e06c9642757a1863a24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b320a60f6d33c0ce893230c35af604e2,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0
14d853eb15aa1667961835da8775d16b,0,0,0,0,0,0,0,0,0,1791,0,0,0,314,0
a13d176c050c5db92ae8e706d7b47126,0,0,0,0,0,0,0,0,0,0,0,373,0,1724,363
1f4715025880e2c397c58cf1e56fdc6a,0,0,0,0,0,0,0,0,0,842,1217,847,0,0,0
bb48ed516ec0fe21045795cfd9f9d163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d7ae76778c7cafd3356cc7000b165e7,59,111,0,21,251,85,68,0,0,353,351,583,173,475,0
45f3941dc1d4a0cc6a8b3e4edd4f15db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d3cf8903de198d124d5a7eb57a89416f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1de5c6de99d44551d411e21edd2ea6df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef0b43c7bdea20cbc788b0f5fc79708f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82fefc0d04678e6b22e67e73efdd30ae,0,0,0,0,0,0,12,0,0,121,206,310,281,0,20
a6558a167300ff12340552c3b645336b,0,0,0,0,97,49,41,0,0,931,20,533,218,970,676
